lon,lat
-106.835428285,35.5644395962
-106.831214905,35.5624046332
-106.833793641,35.5004043581
-106.834861755,35.4748725891
-106.833358765,35.4111709587
-106.832992553,35.395317078
-106.836471557,35.3219718931
-106.837402343,35.3024902342
-106.86252594,35.2357826233
-106.867134095,35.2235565192
-106.897979737,35.1540985107
-106.899810791,35.1519355769
-106.944343567,35.0993080136
-106.963760375,35.079467774
-107.00366211,35.0386657712
-107.024513245,35.0056953425
-107.057861328,34.9529190063
-107.066375733,34.9238700862
-107.081321716,34.8728981014
-107.095527649,34.8379631038
-107.124893189,34.7657165534
-107.128089905,34.7528877254
-107.141906738,34.6973800652
-107.155479432,34.6667671198
-107.192626953,34.582904815
-107.195411681,34.5766296386
-107.214477538,34.4956054694
-107.221023559,34.4677543646
-107.245338441,34.4102859494
-107.267814635,34.3571166988
-107.285827636,34.3277130133
-107.321281433,34.2698097225
-107.340888978,34.2515144344
-107.412567138,34.1845626836
-107.42062378,34.1770286553
-107.505310059,34.1394119258
-107.540275573,34.12386322
-107.604003907,34.1028556818
-107.657745361,34.0851135256
-107.704559327,34.069633484
-107.775100708,34.0462722779
-107.80719757,34.0434646606
-107.897926331,34.035499572
-107.914497376,34.032176972
-108.019683839,34.0110473638
-108.039779663,34.0069999699
-108.09451294,34.0100555425
-108.126022338,34.0028457644
-108.230285645,33.9789352418
-108.243293763,33.9759445196
-108.334114075,33.9538574222
-108.389839172,33.9402770991
-108.429473878,33.9151267999
-108.504112244,33.8677024845
-108.51612854,33.8620986946
-108.610092162,33.8181838996
-108.631622314,33.8081169122
-108.702934265,33.772762299
-108.718650819,33.7649574278
-108.807670593,33.7565383914
-108.8409729,33.7533721918
-108.915382385,33.7533569335
-108.924232484,33.7533569335
-108.989364625,33.7757072446
-109.0153656,33.7853202825
-109.09160614,33.8134727485
-109.112686158,33.8235664372
-109.201942443,33.8662414555
-109.206291198,33.8678207391
-109.305122376,33.9037322996
-109.394554138,33.9361228936
-109.403633118,33.9402122503
-109.484031677,33.9763946536
-109.496849059,33.9848518375
-109.552986145,34.0218429571
-109.578910828,34.0425148006
-109.623680114,34.0781860349
-109.664772034,34.0947952277
-109.739768982,34.12505722
-109.763809204,34.1298065186
-109.840179443,34.1448554999
-109.869941711,34.1467552184
-109.881202698,34.1778793329
-109.882307454,34.1809306019
-109.881202699,34.177879333
-109.869941711,34.146755218
-109.925849915,34.1502952579
-109.94444275,34.1514701833
-110.033370972,34.1615562429
-110.097175598,34.1687507619
-110.140609741,34.1746788033
-110.188812257,34.1812438961
-110.247901917,34.187545776
-110.307807922,34.1939086913
-110.355590821,34.1981887827
-110.428512573,34.2046890263
-110.463172912,34.2093811024
-110.570220948,34.223804473
-110.578125,34.2248687751
-110.674545289,34.2479934683
-110.695983886,34.2531280525
-110.776496888,34.2782020572
-110.823661805,34.2928581242
-110.871833802,34.3192710877
-110.926971436,34.3494529715
-110.962287904,34.368190766
-111.010780333,34.3938865672
-111.057449341,34.4102020255
-111.116928101,34.4309577947
-111.159179687,34.4409828188
-111.225128174,34.4565963741
-111.264396667,34.4631919858
-111.348236083,34.4772338861
-111.37108612,34.480579376
-111.478218079,34.4962081907
-111.49911499,34.4992485053
-111.578285218,34.5296669014
-111.581192016,34.5307846073
-111.626853943,34.5887451163
-111.632415771,34.6049423216
-111.655624389,34.6724510184
-111.664535523,34.6890487673
-111.708007812,34.7699050911
-111.71485138,34.7826080327
-111.770324707,34.8418846134
-111.802879333,34.8766059879
-111.850250244,34.8996467586
-111.891639709,34.9197502126
-111.952308654,34.9253768924
-112.010047912,34.9307060244
-112.061271668,34.9332695005
-112.129539489,34.9366645803
-112.169555665,34.9440307623
-112.258361817,34.960338593
-112.275444031,34.9657478337
-112.369735719,34.9955520632
-112.376640319,34.9990310676
-112.4528656,35.0373687748
-112.469665527,35.04542923
-112.531318666,35.0749626167
-112.56816101,35.0816764835
-112.644119262,35.0954818736
-112.673843383,35.0864677437
-112.743103028,35.0654487615
-112.778549195,35.0626678462
-112.83856964,35.0579452512
-112.881492614,35.0773925784
-112.936439514,35.1022491462
-112.964164733,35.1321525576
-113.007164002,35.1784591678
-113.028823852,35.2030601501
-113.050888061,35.228107452
-113.088256836,35.2768096934
-113.099411012,35.2913360596
-113.156707764,35.3452568055
-113.173149109,35.3607063296
-113.212593079,35.4203987111
-113.222175597,35.4348793034
-113.304779053,35.4624443053
-113.320495606,35.4676856989
-113.391792296,35.4945373544
-113.404960633,35.4988174436
-113.506980897,35.5319404602
-113.515785217,35.5347976682
-113.583999633,35.5745849616
-113.589035033,35.5867500314
-113.604446411,35.6239776603
-113.63256073,35.6669807429
-113.654777527,35.7009162899
-113.70387268,35.7312698368
-113.723899841,35.7436485298
-113.804641724,35.7649841309
-113.834182738,35.7727699274
-113.910850525,35.7892074588
-113.932823182,35.7939147944
-113.993125916,35.8444366446
-114.013748169,35.8616790768
-114.010269164,35.9254570018
-114.008972168,35.9492568971
-113.99293518,36.0117797859
-113.984161376,36.0459671024
-113.978828431,36.0985412598
-113.977935791,36.1072959904
-113.97342682,36.1517906195
-113.966651917,36.1944465644
-113.952857971,36.2814064022
-113.95161438,36.2892227175
-113.927795409,36.3667755138
-113.913040161,36.4147834777
-113.905227661,36.4525642399
-113.89653778,36.494586945
-113.878440857,36.5373992914
-113.843231201,36.6206398008
-113.839668274,36.6290664669
-113.784332276,36.6949310296
-113.762908935,36.7204246511
-113.714790343,36.7635040286
-113.675056458,36.7990570068
-113.638237,36.8275794993
-113.558433533,36.8893241881
-113.555625915,36.8914985663
-113.461967467,36.9341011055
-113.456016541,36.9368095396
-113.379638672,36.9937057486
-113.302375794,37.0511741641
-113.300354004,37.0554237366
-113.300354003,37.0554237367
-113.275291443,37.1082420354
-113.266220093,37.1273574825
-113.258674622,37.1945915223
-113.255218505,37.2255020142
-113.25466156,37.2823371884
-113.254196166,37.3318061836
-113.238182068,37.3681373593
-113.201499938,37.451293946
-113.190254211,37.4767761231
-113.157325744,37.5321426398
-113.141036987,37.5595130913
-113.101272583,37.608383179
-113.068557739,37.6485519407
-113.033737183,37.678676605
-112.968681335,37.7349052423
-112.960540771,37.7456474301
-112.909828186,37.8125572212
-112.903182984,37.8216247562
-112.860824584,37.8793678277
-112.846664429,37.8980102534
-112.788970947,37.9739112849
-112.768264771,38.0011405947
-112.745048523,38.0454826353
-112.738952636,38.0527343758
-112.689476013,38.1115531926
-112.680419922,38.1280784602
-112.637893676,38.2056503298
-112.636489869,38.2093620298
-112.619606019,38.2541046137
-112.599365235,38.2925720211
-112.56123352,38.3649787905
-112.557525635,38.374542237
-112.528198242,38.4503021236
-112.524742126,38.4589843742
-112.491134643,38.5432472225
-112.474723816,38.5843620304
-112.455055237,38.6269111632
-112.439552307,38.6604347231
-112.419914245,38.7108306892
-112.403671264,38.7524948115
-112.376678467,38.7921104425
-112.350189209,38.8309669489
-112.308677674,38.8619537354
-112.28577423,38.879051209
-112.232643127,38.9281578066
-112.207771301,38.951122284
-112.159126281,38.9961967476
-112.085556031,39.0642662048
-112.060188294,39.0877113347
-112.012184143,39.1325073248
-111.973304748,39.1687660222
-111.945999146,39.2046241765
-111.927703857,39.2286300666
-111.890937805,39.2823104863
-111.837234497,39.3606147773
-111.827407836,39.3749275202
-111.78817749,39.4406661994
-111.775039673,39.4626655586
-111.740432739,39.5212326049
-111.721199035,39.553756714
-111.694114685,39.6022987367
-111.669631959,39.6461486822
-111.646972656,39.6831130979
-111.610435485,39.7426605231
-111.596710206,39.7628784186
-111.580322265,39.7496070869
-111.573669434,39.7443084712
-111.537117004,39.7151870723
-111.474372864,39.7229537962
-111.46735382,39.7238273626
-111.396949769,39.7691307067
-111.384666444,39.7783126836
-111.333267212,39.8167419437
-111.307655334,39.8443946834
-111.280044556,39.8742027285
-111.245262146,39.9191513061
-111.226982116,39.9427642825
-111.152297973,39.965900421
-111.095817566,39.9618568429
-111.050376893,39.9918708801
-111.048596984,39.9910781301
-111.050376892,39.9918708795
-111.045700074,39.9949684149
-111.040359497,40.0402030948
-111.042900086,40.0502815256
-111.052825928,40.0896682745
-111.076805114,40.134544373
-111.091209412,40.1614837643
-111.12563324,40.2149353021
-111.151184082,40.2545585637
-111.148864746,40.2989463808
-111.147003173,40.3347053531
-111.096580505,40.3713645937
-111.091789246,40.3748550414
-111.003540039,40.3695640573
-110.98274994,40.3630142215
-110.9193573,40.3430137636
-110.870429993,40.3428535455
-110.802474976,40.3426017767
-110.758422851,40.3600234988
-110.722000123,40.3744239799
-110.647804261,40.3888664248
-110.556541443,40.4065704338
-110.53831482,40.417804718
-110.505584716,40.4379882811
-110.433708192,40.4555473321
-110.406349182,40.4622306823
-110.319221496,40.4764556892
-110.274620057,40.4837150569
-110.207206727,40.5034523005
-110.131965636,40.525428771
-110.095214843,40.5302429193
-110.042823792,40.5370826731
-109.977966308,40.5363845828
-109.912826537,40.5356636053
-109.873970032,40.5087127684
-109.851402283,40.493049621
-109.796646118,40.4735870354
-109.770324708,40.4704513547
-109.657554626,40.4569435127
-109.653869628,40.4572830196
-109.559501648,40.4659919733
-109.537902832,40.4715881355
-109.464355469,40.4906044016
-109.424674987,40.4955024715
-109.366813659,40.5026245122
-109.308044434,40.5088729865
-109.27935028,40.5119133
-109.190353394,40.5103607178
-109.149421691,40.5096359257
-109.095161438,40.4684638984
-109.082923889,40.4591636651
-109.117431641,40.4156951909
-109.143249512,40.3997879019
-109.186012268,40.37342453
-109.153305053,40.3331832891
-109.147796631,40.3263969426
-109.076225281,40.3051452641
-109.047248841,40.2987518319
-109.012313842,40.2910423281
-108.931785584,40.2831764227
-108.908996581,40.2809524538
-108.815444946,40.2916831965
-108.782562257,40.2954444875
-108.700904847,40.3115425109
-108.649665832,40.3216171271
-108.609146119,40.3597984317
-108.604217529,40.3644485474
-108.51248169,40.4102210995
-108.507766724,40.4089889535
-108.410690308,40.3836479187
-108.396095276,40.3808250432
-108.345046998,40.3709373468
-108.287780762,40.3476448066
-108.256462098,40.3348884584
-108.180389405,40.3115348818
-108.133926391,40.2972488405
-108.084442139,40.2625389109
-108.059867858,40.245285034
-108.007209778,40.1956825254
-107.946495056,40.119449616
-107.930664063,40.0995330818
-107.89640808,40.0390701285
-107.889465332,40.0268173217
-107.87740326,39.9516029349
-107.874092103,39.9309120178
-107.86327362,39.8631515496
-107.860534668,39.8460083
-107.831771851,39.779953003
-107.801193238,39.7095184318
-107.788764953,39.6980285643
-107.762008667,39.67327118
-107.690902711,39.6561965939
-107.670722962,39.6513442984
-107.579605103,39.6298713693
-107.573081971,39.6283340452
-107.48400879,39.5794372559
-107.440841675,39.5556831361
-107.403076172,39.5168418884
-107.376625062,39.4896087645
-107.348274232,39.4388580314
-107.32824707,39.402946472
-107.316581726,39.3536300668
-107.295883178,39.2658538826
-107.294662476,39.2606925964
-107.327484131,39.1806297306
-107.337409972,39.1563720713
-107.379486084,39.1014671329
-107.412147521,39.0587921142
-107.431076049,39.0219497684
-107.473609925,38.9390411378
-107.500858078,38.9438151764
-107.473609924,38.9390411375
-107.483673096,38.893619538
-107.503128053,38.8057250981
-107.505462647,38.7951812752
-107.511260986,38.7168312083
-107.515090943,38.6651039118
-107.51574707,38.6277542124
-107.517311096,38.5385894783
-107.51750183,38.527694703
-107.518836975,38.4494361871
-107.518997193,38.4398269658
-107.511993408,38.3638954163
-107.512832642,38.3605346674
-107.534004211,38.2758026124
-107.537101745,38.2743148795
-107.627815246,38.2306785578
-107.634498596,38.2276992791
-107.708541869,38.1946678157
-107.735038758,38.1856498714
-107.798210144,38.1641502378
-107.838050841,38.1474342336
-107.890663147,38.1253509531
-107.930229187,38.0962486257
-107.95513916,38.0779266349
-107.996871948,38.0248565682
-108.02305603,37.9456558229
-108.024620056,37.9384880067
-108.041145324,37.862670898
-108.047676085,37.8516426091
-108.067138672,37.8188018798
-108.042098998,37.7697448722
-108.015151978,37.7168540946
-108.031181335,37.6873321536
-108.047042846,37.6580924997
-108.060508727,37.6122093199
-108.058990479,37.6020851127
-108.049461365,37.5383262626
-108.019256592,37.5310935981
-108.043876648,37.5136108408
-108.046707611,37.5116002591
-108.043876647,37.5136108409
-108.01925659,37.5310935965
-107.963157653,37.5176544187
-107.947380067,37.5191078182
-107.907081605,37.5228271471
-107.842605591,37.4966621402
-107.801376343,37.4799003612
-107.735046386,37.4747123712
-107.70701599,37.4725112926
-107.635398865,37.4821586599
-107.623802186,37.4852371218
-107.563102723,37.50137329
-107.522644042,37.5232276903
-107.506576538,37.531906129
-107.41909027,37.5157165535
-107.415969849,37.514034271
-107.370826721,37.4896583559
-107.314590453,37.4774055488
-107.245414733,37.4622879039
-107.205940247,37.4717674263
-107.172821045,37.4797134395
-107.130401611,37.5104560845
-107.114807129,37.4995002757
-107.067657472,37.4663658149
-107.039718629,37.4337310785
-107.002769471,37.3905105588
-106.957229614,37.3816337575
-106.911354065,37.3726692212
-106.859230042,37.3411407458
-106.825630187,37.3207855216
-106.788978578,37.2731437678
-106.781791687,37.2637863163
-106.740600586,37.1953849797
-106.738761902,37.1933212282
-106.698143007,37.147808074
-106.665351869,37.126674653
-106.638809203,37.1095619202
-106.578857422,37.0696067815
-106.568367005,37.0626106253
-106.522384644,36.9932212832
-106.516166687,36.983833314
-106.469268799,36.9145355224
-106.449600219,36.8854331959
-106.41822815,36.835014342
-106.399475099,36.8048362723
-106.372688294,36.7534446718
-106.3443985,36.6990699779
-106.335594177,36.6694297784
-106.324035645,36.6304626452
-106.326850891,36.5812110905
-106.32788086,36.563148498
-106.338981629,36.4924354554
-106.340301514,36.4839973459
-106.394302368,36.4350967397
-106.411384583,36.4276733407
-106.492904664,36.3922157277
-106.511505126,36.3903656003
-106.573745726,36.3841819767
-106.620857238,36.3741722094
-106.694305419,36.3585281377
-106.726005555,36.3458442697
-106.789299011,36.3204994207
-106.803756715,36.2900581348
-106.819229127,36.2574539189
-106.825126647,36.2032775876
-106.829383849,36.1641311634
-106.82749176,36.1141853343
-106.825950623,36.0735130317
-106.821678162,36.0250625607
-106.816467285,35.9658584588
-106.820220947,35.9361038218
-106.827445984,35.8788566593
-106.822875977,35.8473510736
-106.813522338,35.7827262887
-106.808593751,35.7588615416
-106.790481567,35.6708106985
-106.784492493,35.6416625981
-106.783836364,35.6384506217
-106.830863954,35.5708580023
-106.831214905,35.5624046339
-106.835428285,35.5644395962
